Partno,Rain - ______,Blue - ______,Steel - ______,Skin - ______,Rocket - ______,Shot - ______,Saucer - ______,Envelope - ______,Chapel - ______,Wear - ______,Wet - ______,Fire - _______,Bowl - ______,Freedom - ______,Red - ______,Toad - ______,Flame - ______,Carpet - ______,Cottage - ______,Talk - ______,Rifle - ______
72,,0,0,1,1,0,,0,0,,0,0,0,1,0,0,,1,0,0,1
73,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
74,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0
75,1,0,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,1,1
76,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
77,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
78,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1
79,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1
80,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
81,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1
84,,,0,,,,,,,,,,,,,,0,,,,
85,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1
86,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
87,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1
88,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
89,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1
90,,,0,,,,,,,,,0,0,,,,,,,0,
91,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
94,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1
95,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
96,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1
97,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
98,,0,0,,,,,,,,,,,,,,,,,,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
100,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
101,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
102,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1
103,,0,,,,,,,0,0,0,0,0,,0,,,0,,,
104,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1
105,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1
107,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
108,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
109,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1
110,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1
111,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
112,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
113,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
114,,,,,,,,,,,,,,,,,,,,,
115,1,,,1,1,1,1,1,1,,,,0,1,0,1,1,1,,1,1
116,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1
118,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1
119,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
122,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
123,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1
124,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
125,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
126,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
127,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
128,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
129,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
130,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
131,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1
132,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1
133,1,,,1,1,1,,1,1,,,0,1,1,0,1,1,,1,1,1
314,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
135,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,
136,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
139,,,,,,,,,,,,,,,,,,,,,
140,,,0,,,,,,,,,,,,,,,,0,,
141,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1
142,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0
143,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
144,0,,0,0,,0,,1,0,,0,1,0,,0,,1,,0,0,1
145,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
146,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1
147,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1
148,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
149,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1
150,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
151,,,,0,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,
153,0,0,0,0,1,0,0,0,0,0,1,,,0,0,1,0,0,0,1,1
154,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
155,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
156,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1
157,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
158,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1
159,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
160,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
162,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
163,,,,,1,0,1,,,,,0,1,1,,1,1,1,,,1
164,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
165,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1
166,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
167,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
170,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1
171,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1
172,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
174,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
175,0,0,1,1,,1,1,1,0,0,0,0,1,,0,1,1,0,1,0,1
176,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
177,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1
178,,0,1,1,1,,,0,1,1,1,1,1,0,1,1,0,1,1,1,1
179,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
