"","","Value","Std.Error","DF","t-value","p-value"
"(Intercept)","Step 1","0.681715969795309","0.017522975260709","18287","38.9041221397997","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000366389201642952"
"JudgmentSemantic","Step 1","0.0519689682590519","0.00480188483094709","18287","10.8226186359413","0.00000000000000000000000000325243834651993"
"JudgmentThematic","Step 1","0.108255108143543","0.00479115724926174","18287","22.5947725176884","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001634803099925"
"LogSub.1","Step 1","0.0138784071447215","0.00322166642685673","18287","4.30783492326431","0.0000165720261230863"
"LogSub.2","Step 1","-0.0317632891760169","0.00344544002657085","18287","-9.21893544251589","0.0000000000000000000331870326389959"
"Length.1","Step 1","-0.00469859307016683","0.00168380684396971","18287","-2.79045847033709","0.00526879640993925"
"Length.2","Step 1","-0.00114680020013675","0.00140066206124059","18287","-0.818755809749718","0.412936417003532"
"(Intercept)","Step 2","0.822019958759501","0.0872308622421708","15089","9.4234991794235","0.00000000000000000000498395909669225"
"JudgmentSemantic","Step 2","0.0503048326208586","0.00517989879426155","15089","9.71154739096213","0.00000000000000000000031274576402913"
"JudgmentThematic","Step 2","0.102777749617484","0.00517955050727352","15089","19.8429862732597","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000160287840469722"
"LogSub.1","Step 2","0.0249176933532066","0.00559131703053728","15089","4.45649803384735","0.00000839092885463392"
"LogSub.2","Step 2","-0.0224735073396525","0.00538398742935625","15089","-4.17413815216496","0.0000300793456447849"
"Length.1","Step 2","-0.0103917295937597","0.00201678440913858","15089","-5.15262293117304","0.000000260107263439362"
"Length.2","Step 2","-0.000813807434045814","0.00169368770794177","15089","-0.480494385257587","0.630882860675515"
"AOA.1","Step 2","0.0147099441129964","0.00198344649510356","15089","7.41635539416372","0.000000000000126788457522328"
"AOA.2","Step 2","-0.0142874098876013","0.0022507823417778","15089","-6.34775278906633","0.000000000224725470268158"
"Familiarity.1","Step 2","0.0753425768514589","0.0132327634357939","15089","5.69363891503276","0.0000000126675242535083"
"Familiarity.2","Step 2","-0.0906194979696345","0.0111058767450029","15089","-8.15959874670938","0.000000000000000362469690448221"
"Valence.1","Step 2","-0.000160257318451024","0.0022226426779052","15089","-0.0721021512113067","0.942521569889011"
"Valence.2","Step 2","-0.0217709987984787","0.00212257408139086","15089","-10.2568852551958","0.00000000000000000000000132730552286316"
"Imageability.1","Step 2","0.053135800440408","0.00518084362626995","15089","10.256206184448","0.00000000000000000000000133660418982652"
"Imageability.2","Step 2","-0.0736469757997727","0.00547951767420179","15089","-13.4404121272409","0.0000000000000000000000000000000000000000602824549558918"
"QCON.1","Step 2","-0.0148048977307635","0.00357259120633164","15089","-4.14402232881419","0.0000343128042228229"
"QCON.2","Step 2","0.0449353231766127","0.00443652678039778","15089","10.1284913629179","0.00000000000000000000000492911641307797"
"(Intercept)","Step 3","1.01682718712825","0.100283646203656","15079","10.1395115317535","0.00000000000000000000000440743877105593"
"JudgmentSemantic","Step 3","0.0502250482579436","0.00513028212093116","15079","9.78991935999566","0.000000000000000000000145222526870185"
"JudgmentThematic","Step 3","0.102638005317962","0.00513118468968589","15079","20.0027891267047","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000007161878806837"
"LogSub.1","Step 3","0.0352540858047354","0.00582106415042748","15079","6.05629570362087","0.00000000142599650844762"
"LogSub.2","Step 3","-0.0172273578557552","0.006108891358761","15079","-2.82004652628971","0.00480793417509651"
"Length.1","Step 3","-0.0255283845736694","0.00257592687488348","15079","-9.91036850563711","0.0000000000000000000000441459518582038"
"Length.2","Step 3","0.0177076654504514","0.0023977883532219","15079","7.38499935853708","0.000000000000160428720595596"
