Word	PhoWord	Length_Ortho	Length_Phono	Freq_per_million	OTAN	PTAN
cherry	tS.E.r0.i	6	4	13.5882	2	11
sign	s.aI.n	4	3	133.2745	4	39
habit	h.1.b.I.t	5	5	14.4706	1	4
carry	k.1.r0.i	5	4	65.902	9	20
goose	g.u.s	5	3	13.0392	3	19
string	s.t.r0.I.N	6	5	12.6667	8	12
fruit	f.r0.u.t	5	4	21.7255	2	11
travel	t.r0.1.v.l	6	5	33.3725	3	5
dress	d.r0.E.s	5	4	87.1961	4	9
America	5.m.E.r0.I.k.5	7	7	77.9216	2	2
crocodile	k.r0.A.k.5.d.aI.l	9	8	2.2549	1	1
scent	s.E.n.t	5	4	5.9608	4	20
crayon	k.r0.eI.A.n	6	5	0.41176	1	3
wasp	w.A.s.p	4	4	1.4314	6	3
three	T.r0.i	5	3	542.2353	4	14
drunk	d.r0.V.N.k	5	5	76.549	5	7
violin	v.aI.5.l.I.n	6	6	4.7451	1	1
crown	k.r0.aU.n	5	4	13.6863	9	11
cushion	k.U.S.5.n	7	5	2.1569	1	2
torch	t.or.tS	5	3	4.9804	3	9
force	f.or.s	5	3	70.6667	6	28
jump	dZ.V.m.p	4	4	69.8235	10	14
strap	s.t.r0.1.p	5	5	5.1569	7	8
politics	p.A.l.5.t.I.k.s	8	8	16.5686	1	1
calf	k.1.f	4	3	2.9608	5	21
sack	s.1.k	4	3	12.9216	20	46
cheese	tS.i.z	6	3	39.0392	2	25
Cape	k.eI.p	4	3	8.2353	17	28
cook	k.U.k	4	3	45.5686	18	23
Asia	eI.Z.5	4	3	5.2941	2	2
there	D.Er	5	2	4348.1176	5	32
brother	b.r0.V.D.56	7	5	283.9412	3	2
adolescent	1.d.5.l.E.s.5.n.t	10	9	1.8431	1	2
harp	h.Ar.p	4	3	2.6275	11	20
bath	b.1.T	4	3	31.1176	15	21
Brown	b.r0.aU.n	5	4	60.1176	8	10
surgery	s.36.dZ.56.r0.i	7	6	32.3725	0	2
Catholic	k.1.T.l.I.k	8	6	12.4706	1	1
back	b.1.k	4	3	2009.1569	18	44
baby	b.eI.b.i	4	4	509.3725	4	9
grab	g.r0.1.b	4	4	70.8627	11	11
snake	s.n.eI.k	5	4	22.3529	5	8
sense	s.E.n.s	5	4	131.8039	4	19
money	m.V.n.i	5	4	640.7647	6	20
mink	m.I.N.k	4	4	3.7059	21	17
drum	d.r0.V.m	4	4	8.4706	3	9
hatchet	h.1.tS.I0.t	7	5	1.9608	4	3
hip	h.I.p	3	3	15.4118	21	34
doctor	d.A.k.t.56	6	5	263.9412	1	2
wrist	r0.I.s.t	5	4	10.3333	3	23
Jesus	dZ.i.z.5.s	5	5	161.1765	1	0
dust	d.V.s.t	4	4	23.8431	11	14
blonde	b.l.A.n.d	6	5	13.9216	4	7
bottle	b.A.t.l	6	4	50.7451	3	9
idea	aI.d.ir	4	3	359.0392	2	6
keep	k.i.p	4	3	702.8627	10	31
crime	k.r0.aI.m	5	4	71.2353	5	13
thought	T.O.t	7	3	808.4706	2	14
school	s.k.u.l	6	4	333.1176	1	11
drink	d.r0.I.N.k	5	5	247.3922	6	8
fork	f.or.k	4	3	8.8235	12	21
bird	b.36.d	4	3	45.451	5	39
instrument	I.n.s.t.r0.5.m.5.n.t	10	10	8.098	1	1
sea	s.i	3	2	59.8431	18	60
pony	p.oU.n.i	4	4	8.098	7	8
wood	w.U.d	4	3	27	10	15
gate	g.eI.t	4	3	32.0392	17	34
vault	v.A.l.t	5	4	12.0392	2	8
pan	p.1.n	3	3	12.2941	36	44
shower	S.aU.56	6	3	41.1176	3	9
tangerine	t.1.n.dZ.56.r0.i.n	9	8	0.7451	0	0
baseball	b.eI.s.b.O.l	8	6	25.2549	1	1
air	Er	3	1	139.0196	10	43
play	p.l.eI	4	3	354.5294	9	26
ball	b.O.l	4	3	104.9608	19	32
walk	w.O.k	4	3	215.8627	5	15
thief	T.i.f	5	3	24.2745	1	5
white	w.aI.t	5	3	171.451	8	44
car	k.Ar	3	2	483.0588	31	33
lake	l.eI.k	4	3	36	19	40
cry	k.r0.aI	3	3	65.6471	6	16
forest	f.O.r0.I.s.t	6	6	18.8824	1	2
mug	m.V.g	3	3	6.8431	14	27
jewel	dZ.u.5.l	5	4	7.2353	1	3
zoo	z.u	3	2	13.6471	12	32
dirt	d.36.t	4	3	25.6863	6	14
stool	s.t.u.l	5	4	3.5098	5	17
two	t.u	3	2	1066.3529	4	51
lamb	l.1.m	4	3	10.6275	7	37
Eagle	i.g.l	5	3	11.4902	3	9
pin	p.I.n	3	3	16.3725	30	45
strawberry	s.t.r0.O.b.E.r0.i	10	8	5.5294	0	0
oven	V.v.5.n	4	4	8.8824	8	3
sun	s.V.n	3	3	69.6667	23	40
eye	aI	3	1	111.7843	9	54
building	b.I.l.d.I.N	8	6	99.5686	1	4
care	k.Er	4	2	485.2549	34	46
moon	m.u.n	4	3	49.9608	16	32
mail	m.eI.l	4	3	36.8431	20	60
temple	t.E.m.p.l	6	5	17.549	2	7
swim	s.w.I.m	4	4	31.8039	6	14
heat	h.i.t	4	3	40.0784	16	32
spoon	s.p.u.n	5	4	7.6078	6	14
country	k.V.n.t.r0.i	7	6	161.8431	1	0
yellow	j.E.l.oU	6	4	33.8039	4	10
frog	f.r0.A.g	4	4	11.8235	5	5
rug	r0.V.g	3	3	10.4118	18	27
hut	h.V.t	3	3	13.2157	21	37
speak	s.p.i.k	5	4	187.1765	6	17
gun	g.V.n	3	3	213.1961	18	33
pain	p.eI.n	4	3	97.9412	17	47
milk	m.I.l.k	4	4	42.5294	10	11
answer	1.n.s.56	6	4	176.1961	1	5
soda	s.oU.d.5	4	4	19.8431	3	3
stop	s.t.A.p	4	4	707.2745	9	13
Coke	k.oU.k	4	3	18.5882	15	36
lift	l.I.f.t	4	4	34.1373	10	12
chicken	tS.I.k.I.n	7	5	61.7255	1	2
thread	T.r0.E.d	6	4	5.1569	3	9
go	g.oU	2	2	3793.0392	13	47
skirt	s.k.36.t	5	4	9.9608	3	12
alligator	1.l.I0.g.eI.t.56	9	7	3.4902	1	1
perfume	p.36.f.j.u.m	7	6	11.4314	2	2
Hornet	h.or.n.I0.t	6	5	1.3333	2	1
booze	b.u.z	5	3	10.9412	2	35
couch	k.aU.tS	5	3	23.4706	8	9
Olympic	A.l.I.m.p.I.k	7	7	4	2	1
leap	l.i.p	4	3	6.6667	11	31
buckle	b.V.k.l	6	4	5.0392	2	10
government	g.V.v.56.n.m.5.n.t	10	9	65.2353	1	1
cow	k.aU	3	2	25.5098	29	32
bag	b.1.g	3	3	94.0392	28	38
bread	b.r0.E.d	5	4	28.3333	9	19
coat	k.oU.t	4	3	42.0784	14	35
kitchen	k.I.tS.5.n	7	5	58.3137	1	2
Africa	1.f.r0.I.k.5	6	6	18.7647	1	1
here	h.ir.56	4	3	4525.2549	16	27
sister	s.I.s.t.56	6	5	180.5294	3	5
juvenile	dZ.u.v.5.n.aI.l	8	7	5.1176	0	0
piano	p.I.j.1.n.oU	5	6	24.8627	1	1
blood	b.l.V.d	5	4	186.1176	6	10
front	f.r0.V.n.t	5	5	181.549	3	6
cuddle	k.V.d.l	6	4	2.1569	6	7
pull	p.U.l	4	3	146.451	14	23
long	l.A.N	4	3	675.1569	17	20
touch	t.V.tS	5	3	147.7255	7	19
bank	b.1.N.k	4	4	84.9804	16	17
fur	f.36	3	2	8.2745	9	25
band	b.1.n.d	4	4	53.4118	20	23
knife	n.aI.f	5	3	46.8039	1	12
bone	b.oU.n	4	3	26.0588	23	44
nurse	n.36.s	5	3	44.9804	5	13
arm	Ar.m	3	2	65.4118	11	17
nail	n.eI.l	4	3	18.6471	15	48
Christ	k.r0.aI.s.t	6	5	90.1373	1	5
apple	1.p.l	5	3	23.6667	3	6
clean	k.l.i.n	5	4	121.2353	5	14
jar	dZ.Ar	3	2	8.3137	19	20
mind	m.aI.n.d	4	4	484.6078	18	20
